xi,theta,phi
0.390100,0.974701,-0.128383
0.391100,0.974573,-0.128702
0.392100,0.974444,-0.129020
0.393100,0.974314,-0.129338
0.394100,0.974185,-0.129656
0.395100,0.974055,-0.129973
0.396100,0.973925,-0.130291
0.397100,0.973795,-0.130609
0.398100,0.973664,-0.130926
0.399100,0.973533,-0.131244
0.400100,0.973401,-0.131561
0.401100,0.973270,-0.131879
0.402100,0.973138,-0.132196
0.403100,0.973005,-0.132513
0.404100,0.972873,-0.132830
0.405100,0.972740,-0.133147
0.406100,0.972606,-0.133464
0.407100,0.972473,-0.133781
0.408100,0.972339,-0.134098
0.409100,0.972204,-0.134415
0.410100,0.972070,-0.134731
0.411100,0.971935,-0.135048
0.412100,0.971800,-0.135364
0.413100,0.971664,-0.135681
0.414100,0.971528,-0.135997
0.415100,0.971392,-0.136313
0.416100,0.971256,-0.136630
0.417100,0.971119,-0.136946
0.418100,0.970982,-0.137262
0.419100,0.970844,-0.137577
0.420100,0.970707,-0.137893
0.421100,0.970569,-0.138209
0.422100,0.970430,-0.138525
0.423100,0.970292,-0.138840
0.424100,0.970153,-0.139156
0.425100,0.970013,-0.139471
0.426100,0.969874,-0.139787
0.427100,0.969734,-0.140102
0.428100,0.969593,-0.140417
0.429100,0.969453,-0.140732
0.430100,0.969312,-0.141047
0.431100,0.969171,-0.141362
0.432100,0.969029,-0.141677
0.433100,0.968887,-0.141992
0.434100,0.968745,-0.142306
0.435100,0.968603,-0.142621
0.436100,0.968460,-0.142935
0.437100,0.968317,-0.143250
0.438100,0.968174,-0.143564
0.439100,0.968030,-0.143878
0.440100,0.967886,-0.144192
0.441100,0.967741,-0.144506
0.442100,0.967597,-0.144820
0.443100,0.967452,-0.145134
0.444100,0.967307,-0.145448
0.445100,0.967161,-0.145762
0.446100,0.967015,-0.146075
0.447100,0.966869,-0.146389
0.448100,0.966722,-0.146702
0.449100,0.966575,-0.147016
0.450100,0.966428,-0.147329
0.451100,0.966281,-0.147642
0.452100,0.966133,-0.147955
0.453100,0.965985,-0.148268
0.454100,0.965836,-0.148581
0.455100,0.965688,-0.148894
0.456100,0.965539,-0.149207
0.457100,0.965389,-0.149519
