massa,raggio
3.15505e+30,32438.7
3.15535e+30,32437.7
3.15565e+30,32436.7
3.15595e+30,32435.6
3.15624e+30,32434.6
3.15654e+30,32433.6
3.15684e+30,32432.6
3.15714e+30,32431.6
3.15744e+30,32430.5
3.15774e+30,32429.5
3.15803e+30,32428.5
3.15833e+30,32427.5
3.15863e+30,32426.4
3.15893e+30,32425.4
3.15923e+30,32424.4
3.15953e+30,32423.4
3.15982e+30,32422.4
3.16012e+30,32421.3
3.16042e+30,32420.3
3.16072e+30,32419.3
3.16102e+30,32418.3
3.16132e+30,32417.3
3.16161e+30,32416.2
3.16191e+30,32415.2
3.16221e+30,32414.2
3.16251e+30,32413.2
3.16281e+30,32412.2
3.16311e+30,32411.1
3.16341e+30,32410.1
3.1637e+30,32409.1
3.164e+30,32408.1
3.1643e+30,32407.1
3.1646e+30,32406.1
3.1649e+30,32405
3.1652e+30,32404
3.16549e+30,32403
3.16579e+30,32402
3.16609e+30,32401
3.16639e+30,32399.9
3.16669e+30,32398.9
3.16699e+30,32397.9
3.16728e+30,32396.9
3.16758e+30,32395.9
3.16788e+30,32394.9
3.16818e+30,32393.8
3.16848e+30,32392.8
3.16878e+30,32391.8
3.16907e+30,32390.8
3.16937e+30,32389.8
3.16967e+30,32388.8
3.16997e+30,32387.7
3.17027e+30,32386.7
3.17057e+30,32385.7
3.17086e+30,32384.7
3.17116e+30,32383.7
3.17146e+30,32382.7
3.17176e+30,32381.6
3.17206e+30,32380.6
3.17236e+30,32379.6
3.17265e+30,32378.6
3.17295e+30,32377.6
3.17325e+30,32376.6
3.17355e+30,32375.6
3.17385e+30,32374.5
3.17415e+30,32373.5
3.17444e+30,32372.5
3.17474e+30,32371.5
3.17504e+30,32370.5
3.17534e+30,32369.5
3.17564e+30,32368.5
3.17594e+30,32367.4
3.17623e+30,32366.4
3.17653e+30,32365.4
3.17683e+30,32364.4
3.17713e+30,32363.4
3.17743e+30,32362.4
3.17773e+30,32361.4
3.17802e+30,32360.4
3.17832e+30,32359.3
3.17862e+30,32358.3
3.17892e+30,32357.3
3.17922e+30,32356.3
3.17952e+30,32355.3
3.17981e+30,32354.3
3.18011e+30,32353.3
3.18041e+30,32352.3
3.18071e+30,32351.2
3.18101e+30,32350.2
3.18131e+30,32349.2
3.1816e+30,32348.2
3.1819e+30,32347.2
3.1822e+30,32346.2
3.1825e+30,32345.2
